id,filename,voice,frequency,word,phones,length,correct
1,ə_p_ɪ_ɹ_d-en-US-Wavenet-A,en-US-Wavenet-A,83524,appeared,ə p ɪ ɹ d,5,1
1,ə_p_ɪ_k_s-en-US-Wavenet-A,en-US-Wavenet-A,,,ə p ɪ k s,5,0
1,ə_p_ɪ_ɹ_d-en-US-Wavenet-B,en-US-Wavenet-B,83524,appeared,ə p ɪ ɹ d,5,1
1,ə_p_ɪ_k_s-en-US-Wavenet-B,en-US-Wavenet-B,,,ə p ɪ k s,5,0
1,ə_p_ɪ_ɹ_d-en-US-Wavenet-C,en-US-Wavenet-C,83524,appeared,ə p ɪ ɹ d,5,1
1,ə_p_ɪ_k_s-en-US-Wavenet-C,en-US-Wavenet-C,,,ə p ɪ k s,5,0
1,ə_p_ɪ_ɹ_d-en-US-Wavenet-F,en-US-Wavenet-F,83524,appeared,ə p ɪ ɹ d,5,1
1,ə_p_ɪ_k_s-en-US-Wavenet-F,en-US-Wavenet-F,,,ə p ɪ k s,5,0
2,k_j_ʊ_ɹ-en-US-Wavenet-A,en-US-Wavenet-A,14711,cure,k j ʊ ɹ,4,1
2,θ_ɹ_ɑ_ɹ-en-US-Wavenet-A,en-US-Wavenet-A,,,θ ɹ ɑ ɹ,4,0
2,k_j_ʊ_ɹ-en-US-Wavenet-B,en-US-Wavenet-B,14711,cure,k j ʊ ɹ,4,1
2,θ_ɹ_ɑ_ɹ-en-US-Wavenet-B,en-US-Wavenet-B,,,θ ɹ ɑ ɹ,4,0
2,k_j_ʊ_ɹ-en-US-Wavenet-C,en-US-Wavenet-C,14711,cure,k j ʊ ɹ,4,1
2,θ_ɹ_ɑ_ɹ-en-US-Wavenet-C,en-US-Wavenet-C,,,θ ɹ ɑ ɹ,4,0
2,k_j_ʊ_ɹ-en-US-Wavenet-F,en-US-Wavenet-F,14711,cure,k j ʊ ɹ,4,1
2,θ_ɹ_ɑ_ɹ-en-US-Wavenet-F,en-US-Wavenet-F,,,θ ɹ ɑ ɹ,4,0
3,d_ɪ_v_ɛ_l_ə_p_t-en-US-Wavenet-A,en-US-Wavenet-A,13791,developed,d ɪ v ɛ l ə p t,8,1
3,d_ɪ_v_ɛ_l_ə_m_d-en-US-Wavenet-A,en-US-Wavenet-A,,,d ɪ v ɛ l ə m d,8,0
3,d_ɪ_v_ɛ_l_ə_p_t-en-US-Wavenet-B,en-US-Wavenet-B,13791,developed,d ɪ v ɛ l ə p t,8,1
3,d_ɪ_v_ɛ_l_ə_m_d-en-US-Wavenet-B,en-US-Wavenet-B,,,d ɪ v ɛ l ə m d,8,0
3,d_ɪ_v_ɛ_l_ə_p_t-en-US-Wavenet-C,en-US-Wavenet-C,13791,developed,d ɪ v ɛ l ə p t,8,1
3,d_ɪ_v_ɛ_l_ə_m_d-en-US-Wavenet-C,en-US-Wavenet-C,,,d ɪ v ɛ l ə m d,8,0
3,d_ɪ_v_ɛ_l_ə_p_t-en-US-Wavenet-F,en-US-Wavenet-F,13791,developed,d ɪ v ɛ l ə p t,8,1
3,d_ɪ_v_ɛ_l_ə_m_d-en-US-Wavenet-F,en-US-Wavenet-F,,,d ɪ v ɛ l ə m d,8,0
4,f_eɪ_θ_f_ə_l-en-US-Wavenet-A,en-US-Wavenet-A,24080,faithful,f eɪ θ f ə l,6,1
4,f_iː_b_v_ə_l-en-US-Wavenet-A,en-US-Wavenet-A,,,f iː b v ə l,6,0
4,f_eɪ_θ_f_ə_l-en-US-Wavenet-B,en-US-Wavenet-B,24080,faithful,f eɪ θ f ə l,6,1
4,f_iː_b_v_ə_l-en-US-Wavenet-B,en-US-Wavenet-B,,,f iː b v ə l,6,0
4,f_eɪ_θ_f_ə_l-en-US-Wavenet-C,en-US-Wavenet-C,24080,faithful,f eɪ θ f ə l,6,1
4,f_iː_b_v_ə_l-en-US-Wavenet-C,en-US-Wavenet-C,,,f iː b v ə l,6,0
4,f_eɪ_θ_f_ə_l-en-US-Wavenet-F,en-US-Wavenet-F,24080,faithful,f eɪ θ f ə l,6,1
4,f_iː_b_v_ə_l-en-US-Wavenet-F,en-US-Wavenet-F,,,f iː b v ə l,6,0
5,t_aʊ_ə_ɹ-en-US-Wavenet-A,en-US-Wavenet-A,23181,tower,t aʊ ə ɹ,4,1
5,ɡ_ɔɪ_ə_n-en-US-Wavenet-A,en-US-Wavenet-A,,,ɡ ɔɪ ə n,4,0
5,t_aʊ_ə_ɹ-en-US-Wavenet-B,en-US-Wavenet-B,23181,tower,t aʊ ə ɹ,4,1
5,ɡ_ɔɪ_ə_n-en-US-Wavenet-B,en-US-Wavenet-B,,,ɡ ɔɪ ə n,4,0
5,t_aʊ_ə_ɹ-en-US-Wavenet-C,en-US-Wavenet-C,23181,tower,t aʊ ə ɹ,4,1
5,ɡ_ɔɪ_ə_n-en-US-Wavenet-C,en-US-Wavenet-C,,,ɡ ɔɪ ə n,4,0
5,t_aʊ_ə_ɹ-en-US-Wavenet-F,en-US-Wavenet-F,23181,tower,t aʊ ə ɹ,4,1
5,ɡ_ɔɪ_ə_n-en-US-Wavenet-F,en-US-Wavenet-F,,,ɡ ɔɪ ə n,4,0
